,Rank,Name,Team,Position,FPTS,AVG,Auction Price
80,81,Tyler Boyd,CIN,WR,182.38,11.4,$7
81,82,Kendrick Bourne,NE,WR,182.25,10.7,UD
82,83,A.J. Brown,TEN,WR,180.9,13.9,$30
83,84,Zach Ertz,Unknown,TE,180.7,10.6,UD
84,85,Marvin Jones Jr.,JAX,WR,180.2,10.6,$1
85,86,Kyle Pitts,ATL,TE,176.6,10.4,$18
86,87,Myles Gaskin,MIA,RB,172.6,10.2,$8
87,88,James Robinson,JAX,RB,171.9,12.3,$24
88,89,Rob Gronkowski,TB,TE,171.2,14.3,$1
89,90,Brandon Aiyuk,SF,WR,169.3,10.0,$20
90,91,Baker Mayfield,CLE,QB,168.8,12.1,$8
91,92,Tua Tagovailoa,MIA,QB,168.39,13.0,$13
92,93,Van Jefferson,LAR,WR,168.2,9.9,UD
93,94,Chase Claypool,PIT,WR,166.6,11.1,$15
94,95,Trevor Lawrence,JAX,QB,165.63,9.7,$15
95,96,Elijah Mitchell,SF,RB,165.0,15.0,UD
96,97,Mike Gesicki,MIA,TE,165.0,9.7,$1
97,98,Hunter Henry,NE,TE,164.3,10.3,UD
98,99,Dawson Knox,BUF,TE,164.1,10.9,UD
99,100,Dallas Goedert,PHI,TE,164.0,10.9,$2
100,101,Darrell Henderson Jr.,LAR,RB,163.4,13.6,$12
101,102,Russell Gage,ATL,WR,163.0,12.5,$1
102,103,Tony Pollard,DAL,RB,160.6,10.7,$1
103,104,Noah Fant,DEN,TE,159.0,9.9,$6
104,105,K.J. Osborn,MIN,WR,158.5,9.3,UD
105,106,Cole Beasley,BUF,WR,158.3,9.9,$1
106,107,A.J. Green,Unknown,WR,156.8,9.8,UD
107,108,Tim Patrick,DEN,WR,156.4,9.8,$47
108,109,Michael Carter,NYJ,RB,154.4,11.0,$3
109,110,Daniel Jones,NYG,QB,152.24,13.8,$2
110,111,Marquez Callaway,NO,WR,151.8,8.9,$5
111,112,Pat Freiermuth,PIT,TE,151.7,9.5,UD
112,113,Courtland Sutton,DEN,WR,150.08,8.8,$3
113,114,Davis Mills,HOU,QB,148.32,11.4,UD
114,115,Saquon Barkley,NYG,RB,147.6,11.4,$50
115,116,DeAndre Hopkins,Unknown,WR,147.2,14.7,$39
116,117,Devonta Freeman,BAL,RB,146.6,9.2,UD
117,118,Sony Michel,LAR,RB,146.3,8.6,$4
118,119,Tyler Higbee,LAR,TE,146.0,9.7,$2
119,120,T.J. Hockenson,DET,TE,145.3,12.1,$7
120,121,Devontae Booker,NYG,RB,144.1,9.0,UD
121,122,Cedrick Wilson,DAL,WR,143.94,9.6,UD
122,123,Chase Edmonds,Unknown,RB,143.3,11.9,$17
123,124,Allen Lazard,GB,WR,142.5,10.2,UD
124,125,Mecole Hardman,KC,WR,139.9,8.2,$1
125,126,Robby Anderson,CAR,WR,138.5,8.1,$4
126,127,Elijah MooreO,NYJ,WR,138.2,12.6,$2
127,128,Chuba Hubbard,CAR,RB,137.6,8.6,$1
128,129,Tyler Conklin,MIN,TE,137.3,8.1,UD
129,130,Mike Davis,ATL,RB,137.2,8.1,$19
130,131,Robert Woods,LAR,WR,137.2,15.2,$25
131,132,Darren Waller,LV,TE,133.5,12.1,$29
132,133,Jared Cook,LAC,TE,132.4,8.3,UD
133,134,Kalif Raymond,DET,WR,132.4,8.3,UD
134,135,Sam Darnold,CAR,QB,132.01,11.0,$3
135,136,Jarvis Landry,CLE,WR,132.0,11.0,$2
136,137,Emmanuel Sanders,BUF,WR,131.7,9.4,UD
137,138,Zach Wilson,NYJ,QB,131.52,10.1,$7
138,139,Jameis Winston,NO,QB,129.7,18.5,$7
139,140,Odell Beckham Jr.D,LAR,WR,129.1,9.2,$7
140,141,C.J. Uzomah,CIN,TE,128.3,8.0,UD
141,142,J.D. McKissic,Unknown,RB,127.9,11.6,$1
142,143,Laviska Shenault Jr.,JAX,WR,127.0,7.9,$6
143,144,Christian McCaffrey,CAR,RB,126.5,18.1,$60
144,145,Gabriel Davis,BUF,WR,125.9,8.4,UD
145,146,Alexander Mattison,MIN,RB,125.9,7.9,$1
146,147,Byron Pringle,KC,WR,125.8,7.9,$1
147,148,Brandon Bolden,NE,RB,123.1,7.7,UD
148,149,Kenneth Gainwell,PHI,RB,122.4,7.6,$1
149,150,Rashaad Penny,SEA,RB,121.7,12.2,UD
150,151,Cole Kmet,CHI,TE,121.2,7.1,UD
151,152,Antonio Brown,Unknown,WR,121.1,17.3,$3
152,153,Braxton Berrios,NYJ,WR,121.1,7.6,UD
153,154,Jamaal Williams,DET,RB,118.8,9.1,$1
154,155,Gerald Everett,SEA,TE,117.8,7.9,UD
155,156,Clyde Edwards-Helaire,KC,RB,117.6,11.8,$32
156,157,Miles Sanders,PHI,RB,117.2,9.8,$21
157,158,Ty Johnson,NYJ,RB,116.0,7.3,$2
158,159,uez Watkins,PHI,WR,116.0,6.8,UD
159,160,Rhamondre Stevenson,NE,RB,113.9,9.5,$1
160,161,Taysom Hill,NO,QB,112.94,9.4,UD
161,162,Deonte Harris,NO,WR,112.1,8.6,UD
162,163,Nyheim Hines,IND,RB,111.6,6.6,$3
163,164,Kareem Hunt,CLE,RB,110.0,13.8,$16
164,165,Jamison Crowder,NYJ,WR,109.7,9.1,UD
165,166,Donovan Peoples-Jones,CLE,WR,108.7,8.4,$37
166,167,Mark Ingram II,NO,RB,108.6,7.8,$1
167,168,Bryan Edwards,LV,WR,108.1,6.4,$3
168,169,David Njoku,CLE,TE,107.6,7.2,UD
169,170,Nick Westbrook-Ikhine,TEN,WR,107.6,7.2,$35
170,171,Rondale Moore,Unknown,WR,107.1,7.6,$1
171,172,Zay Jones,LV,WR,105.9,7.1,$8
172,173,Justin Fields,CHI,QB,105.1,8.8,$10
173,174,Zack Moss,BUF,RB,104.2,8.0,$2
174,175,Corey Davis,NYJ,WR,104.2,11.6,$4
175,176,Latavius Murray,BAL,RB,103.6,7.4,UD
176,177,DeVante Parker,MIA,WR,103.5,10.4,$1
177,178,Rashod Bateman,BAL,WR,103.5,8.6,UD
178,179,Nelson Agholor,NE,WR,103.4,7.4,$1
179,180,Rex Burkhead,HOU,RB,103.3,6.9,UD
180,181,D'Ernest Johnson,CLE,RB,103.1,7.9,$16
181,182,Evan Engram,NYG,TE,102.5,6.8,UD
182,183,Kenyan Drake,LV,RB,101.5,8.5,$1
183,184,Boston Scott,PHI,RB,98.6,8.2,UD
184,185,Jalen Guyton,LAC,WR,96.2,6.0,UD
185,186,Trevor Siemian,NO,QB,95.62,15.9,UD
186,187,Zach Pascal,IND,WR,94.5,5.9,UD
187,188,Randall Cobb,GB,WR,93.6,8.5,UD
188,189,Joshua Palmer,LAC,WR,92.9,6.2,UD
189,190,D'Onta Foreman,TEN,RB,92.9,10.3,UD
190,191,Austin Hooper,CLE,TE,92.5,5.8,UD
191,192,Michael Gallup,DAL,WR,91.5,10.2,$2
192,193,Olamide Zaccheaus,ATL,WR,89.8,6.0,UD
193,194,Ameer Abdullah,CAR,RB,89.5,5.3,UD
194,195,Kenny Golladay,NYG,WR,89.1,6.4,$7
195,196,Allen Robinson II,CHI,WR,87.0,7.3,$26
196,197,Marquez Valdes-Scantling,GB,WR,87.0,7.9,$5
197,198,Tre'uan Smith,NO,WR,86.7,7.9,UD
198,199,Justin Jackson,LAC,RB,86.2,6.2,UD
199,200,Freddie Swain,SEA,WR,85.5,5.0,UD
200,201,Henry Ruggs III,Unknown,WR,84.5,12.1,$1
201,202,Foster Moreau,LV,TE,84.3,6.0,UD
202,203,Jerry Jeudy,DEN,WR,84.0,8.4,$13
203,204,Nico Collins,HOU,WR,83.6,6.0,UD
204,205,DeAndre Carter,Unknown,WR,83.5,4.9,UD
205,206,Samaje Perine,CIN,RB,83.2,5.2,UD
206,207,Laquon Treadwell,JAX,WR,82.4,6.9,UD
207,208,Kadarius Toney,NYG,WR,82.17,9.1,UD
208,209,David Johnson,HOU,RB,81.3,6.3,$1
209,210,Jauan Jennings,SF,WR,81.2,6.2,UD
210,211,Josh Reynolds,DET,WR,80.6,8.1,UD
211,212,Julio Jones,TEN,WR,80.4,8.0,$14
212,213,Cam Newton,CAR,QB,79.52,9.9,UD
213,214,Adam Humphries,Unknown,WR,79.3,4.7,UD
214,215,Ronald Jones II,TB,RB,79.2,5.3,$8
215,216,Jack Doyle,IND,TE,79.2,4.7,UD
216,217,Keelan Cole,NYJ,WR,78.9,5.6,UD
217,218,Mo Alie-Cox,IND,TE,78.6,4.6,UD
218,219,Cameron Brate,TB,TE,78.5,4.9,UD
219,220,Anthony Firkser,TEN,TE,78.1,5.2,UD
220,221,Khalil Herbert,CHI,RB,77.9,4.9,UD
221,222,Sterling Shepard,NYG,WR,77.7,11.1,$1
222,223,Devin Duvernay,BAL,WR,76.2,4.8,UD
223,224,Jalen Reagor,PHI,WR,76.1,4.5,$1
224,225,Andy Dalton,CHI,QB,76.05,9.5,$1
225,226,Albert Okwuegbunam,DEN,TE,76.0,5.4,UD
226,227,Dan Arnold,JAX,TE,75.8,7.6,UD
227,228,DeSean Jackson,LV,WR,75.8,5.4,UD
228,229,Jamal Agnew,JAX,WR,75.0,7.5,UD
229,230,T.Y. Hilton,IND,WR,74.1,7.4,$1
230,231,Tyrod Taylor,HOU,QB,74.08,12.3,$2
231,232,Kyle Juszczyk,SF,RB,73.8,4.6,UD
232,233,Jeremy McNichols,TEN,RB,73.6,5.7,UD
233,234,Tyler Huntley,BAL,QB,72.83,10.4,UD
234,235,Tyler Johnson,TB,WR,72.0,4.5,$2
235,236,Dontrell Hilliard,TEN,RB,71.7,10.2,UD
236,237,Calvin RidleyO,ATL,WR,71.1,14.2,$41
237,238,Sammy Watkins,BAL,WR,70.4,5.4,UD
238,239,Geoff Swaim,TEN,TE,70.0,4.4,UD
239,240,Durham Smythe,MIA,TE,70.0,4.7,UD
240,241,Demarcus Robinson,KC,WR,69.4,5.0,UD
241,242,Ricky Seals-Jones,Unknown,TE,69.1,6.3,$37
242,243,Alex Collins,SEA,RB,68.8,6.3,UD
243,244,Darius Slayton,NYG,WR,68.6,5.3,UD
244,245,Danny Amendola,HOU,WR,67.8,8.5,UD
245,246,Trey Lance,SF,QB,66.89,11.1,$14
246,247,Jonnu Smith,NE,TE,66.4,4.4,$1
247,248,James Washington,PIT,WR,65.8,4.4,$21
248,249,Damiere Byrd,CHI,WR,64.9,5.9,UD
249,250,Chris Conley,HOU,WR,64.6,4.6,UD
250,251,Ryan GriffinO,NYJ,TE,64.1,4.6,UD
251,252,Adam Trautman,NO,TE,63.3,5.3,UD
252,253,Ray-Ray McCloud,PIT,WR,63.2,4.0,UD
253,254,Jordan Howard,PHI,RB,62.5,8.9,UD
254,255,Jacoby Brissett,MIA,QB,62.49,5.7,UD
255,256,Harrison Bryant,CLE,TE,62.3,4.8,UD
256,257,Hayden Hurst,ATL,TE,62.1,5.2,UD
257,258,Chester Rogers,TEN,WR,62.0,3.9,UD
258,259,Travis Homer,SEA,RB,61.8,4.4,UD
259,260,Josiah Deguara,GB,TE,61.5,5.1,UD
260,261,Damien Williams,CHI,RB,60.7,5.1,$1
261,262,Mack Hollins,MIA,WR,60.3,4.0,UD
262,263,Kyle Rudolph,NYG,TE,59.7,4.0,UD
263,264,Duke Johnson,MIA,RB,59.1,11.8,UD
264,265,DeeJay Dallas,SEA,RB,59.1,3.5,UD
265,266,Donald Parham Jr.,LAC,TE,59.0,4.9,$1
266,267,Giovani Bernard,TB,RB,58.1,5.8,UD
267,268,Antoine Wesley,Unknown,WR,57.8,6.4,UD
268,269,Rashard Higgins,CLE,WR,57.5,4.8,UD
269,270,Marquise Goodwin,CHI,WR,57.2,4.1,$2
270,271,Geno Smith,SEA,QB,56.26,14.1,$15
271,272,Derrick Gore,KC,RB,56.1,6.2,UD
272,273,Brevin Jordan,HOU,TE,55.8,6.2,UD
273,274,Chris Moore,HOU,WR,55.7,5.6,UD
274,275,Jaret Patterson,Unknown,RB,54.9,3.9,UD
275,276,Logan Thomas,Unknown,TE,53.6,8.9,$5
276,277,Tommy Tremble,CAR,TE,53.1,3.5,UD
277,278,Juwan Johnson,NO,TE,52.9,4.4,UD
278,279,Tevin Coleman,NYJ,RB,51.5,4.7,UD
279,280,Isaiah McKenzie,BUF,WR,51.5,3.4,UD
280,281,Tavon Austin,JAX,WR,51.4,4.7,UD
281,282,Jimmy Graham,CHI,TE,50.7,4.6,UD
282,283,Jeff Wilson Jr.,SF,RB,50.5,6.3,UD
283,284,Robert Tonyan,GB,TE,50.4,6.3,$5
284,285,James O'Shaughnessy,JAX,TE,50.4,7.2,$3
285,286,Dare Ogunbowale,JAX,RB,50.1,3.9,UD
286,287,John Bates,Unknown,TE,49.9,4.5,UD
287,288,Lil'Jordan Humphrey,NO,WR,49.9,5.5,UD
288,289,Chris Evans,CIN,RB,49.8,4.5,$1
289,290,uintez Cephus,DET,WR,49.4,9.9,UD
290,291,Will Dissly,SEA,TE,49.1,3.8,UD
291,292,Brandon Zylstra,CAR,WR,49.0,3.8,UD
292,293,Cam Sims,Unknown,WR,48.8,4.1,UD
293,294,JaMycal Hasty,SF,RB,48.5,4.4,UD
294,295,MyCole Pruitt,TEN,TE,48.5,4.0,UD
295,296,Chris Carson,SEA,RB,48.1,12.0,$20
296,297,Tajae Sharpe,ATL,WR,48.0,3.4,UD
297,298,Albert Wilson,MIA,WR,48.0,4.4,UD
298,299,Peyton Barber,LV,RB,47.9,5.3,UD
299,300,Demetric Felton,CLE,RB,46.5,2.9,UD
